sample_id,url,domain,domain_age_days,whois_privacy,cert_valid,cert_hostname_match,has_mx,has_spf,collection_timestamp
3,http://carrefour.es,carrefour.es,-1,0,1,1,1,0,2026-08-24T16:14:04.904282
19,http://cordkit.online/about?q=test,cordkit.online,-1,0,0,0,0,0,2026-08-24T16:14:05.462650
13,http://company-target.com/download,company-target.com,-1,0,0,0,0,0,2026-08-24T16:14:05.762542
2,http://www.ap.gov.in/search,www.ap.gov.in,-1,0,1,1,0,0,2026-08-24T16:14:05.455687
5,http://cvs.com/index.html?action=verify&token=abcxyz123abcxyz123abcxyz123abcxyz123abcxyz123abcxyz123abcxyz123abcxyz123,cvs.com,-1,0,1,1,1,0,2026-08-24T16:14:05.764461
1,http://4wps.net/contact,4wps.net,-1,0,0,0,0,0,2026-08-24T16:14:05.905472
6,http://www.dord.gov.in/wp-content/uploads/image.jpg,www.dord.gov.in,-1,0,1,1,0,0,2026-08-24T16:14:04.890674
11,http://www.undianshopee3535.blogspot.com/,www.undianshopee3535.blogspot.com,-1,0,1,1,0,0,2026-08-24T16:14:05.219295
7,http://www.shopee1718.blogspot.com/,www.shopee1718.blogspot.com,-1,0,1,1,0,0,2026-08-24T16:14:05.222229
14,https://facebook-vu.blogspot.com/?m=1,facebook-vu.blogspot.com,-1,0,1,1,0,0,2026-08-24T16:14:05.160513
4,http://absoluporn.com,absoluporn.com,-1,0,0,0,1,0,2026-08-24T16:14:05.617666
8,http://pusat-shopee245.blogspot.com/,pusat-shopee245.blogspot.com,-1,0,1,1,0,0,2026-08-24T16:14:05.780391
12,http://www.courtlistener.com/blog/article-name-here?action=verify&token=abcxyz123abcxyz123abcxyz123abcxyz123abcxyz123abcxyz123abcxyz123abcxyz123,www.courtlistener.com,-1,0,1,1,1,0,2026-08-24T16:14:06.326416
10,http://bahalmag.ir/about,bahalmag.ir,-1,0,1,1,1,0,2026-08-24T16:14:07.261362
9,http://www.canalblog.com/wp-content/uploads/image.jpg,www.canalblog.com,-1,0,1,1,1,0,2026-08-24T16:14:07.519780
16,http://405kk.com/?utm_source=newsletter&utm_medium=email,405kk.com,-1,0,1,1,0,0,2026-08-24T16:14:07.148276
15,http://24ur.com/contact,24ur.com,-1,0,1,1,1,0,2026-08-24T16:14:07.894786
18,http://amocrm.ru,amocrm.ru,-1,0,1,1,1,0,2026-08-24T16:14:06.094153
