sample_id,url,password_input_count,external_link_ratio,has_redirect,suspicious_text_count,cross_domain_form,collection_timestamp
3,http://carrefour.es,0,0.0,1,0,0,2026-08-24T16:14:05.158258
19,http://cordkit.online/about?q=test,0,0.0,0,0,0,2026-08-24T16:14:05.700478
13,http://company-target.com/download,0,0.0,0,0,0,2026-08-24T16:14:05.789837
2,http://www.ap.gov.in/search,0,0.0,0,0,0,2026-08-24T16:14:05.931034
5,http://cvs.com/index.html?action=verify&token=abcxyz123abcxyz123abcxyz123abcxyz123abcxyz123abcxyz123abcxyz123abcxyz123,0,0.0,0,0,0,2026-08-24T16:14:05.934907
1,http://4wps.net/contact,0,0.0,0,0,0,2026-08-24T16:14:05.951774
6,http://www.dord.gov.in/wp-content/uploads/image.jpg,0,0.0,0,0,0,2026-08-24T16:14:06.225216
11,http://www.undianshopee3535.blogspot.com/,0,0.0,0,0,0,2026-08-24T16:14:06.264978
7,http://www.shopee1718.blogspot.com/,0,0.0,0,0,0,2026-08-24T16:14:06.277264
14,https://facebook-vu.blogspot.com/?m=1,0,0.0,0,0,0,2026-08-24T16:14:06.304845
4,http://absoluporn.com,0,0.0462,0,0,0,2026-08-24T16:14:06.468249
8,http://pusat-shopee245.blogspot.com/,0,0.0,0,0,0,2026-08-24T16:14:06.817938
12,http://www.courtlistener.com/blog/article-name-here?action=verify&token=abcxyz123abcxyz123abcxyz123abcxyz123abcxyz123abcxyz123abcxyz123abcxyz123,0,0.0,0,0,0,2026-08-24T16:14:07.161978
10,http://bahalmag.ir/about,0,0.0,0,1,0,2026-08-24T16:14:08.024212
9,http://www.canalblog.com/wp-content/uploads/image.jpg,0,0.0,0,0,0,2026-08-24T16:14:08.969783
16,http://405kk.com/?utm_source=newsletter&utm_medium=email,0,0.0,0,0,0,2026-08-24T16:14:09.017636
15,http://24ur.com/contact,0,0.0,0,0,0,2026-08-24T16:14:09.182665
18,http://amocrm.ru,0,0.0,0,0,0,2026-08-24T16:14:09.183348
22,http://ax-dc-msedge.net/about,0,0.0,0,0,0,2026-08-24T16:14:11.974934
20,http://amazon.fr,0,0.0,0,0,0,2026-08-24T16:14:12.744641
27,http://www.shopee-9789.blogspot.com/,0,0.0,0,0,0,2026-08-24T16:14:14.153098
26,http://www.layanan-pemenang87.blogspot.com/,0,0.0,0,0,0,2026-08-24T16:14:14.155179
31,http://dhlorders.de/,0,0.0494,0,3,0,2026-08-24T16:14:14.166344
30,http://pusat-shopee317.blogspot.com/,0,0.5,0,0,0,2026-08-24T16:14:14.325710
28,http://www.shopee-666.blogspot.com/,0,0.0,0,0,0,2026-08-24T16:14:14.391915
17,https://1url.at/www/robloxcom-users-2741422882473-profile,0,0.0,0,0,0,2026-08-24T16:14:14.567374
21,http://www.bol.com/assets/css/style.css?page=2,0,0.0,0,0,0,2026-08-24T16:14:14.689029
23,https://fiverr992090.digiblogbox.com/,0,0.5385,0,0,0,2026-08-24T16:14:14.692887
34,http://www.info-pemenang2.blogspot.com/,0,0.0,0,0,0,2026-08-24T16:14:16.030147
29,http://amazon.se/contact?utm_source=newsletter&utm_medium=email,0,0.0,0,0,0,2026-08-24T16:14:16.512858
33,http://arca.live/contact?page=2,0,0.0,0,0,0,2026-08-24T16:14:16.674065
38,http://ads-twitter.com/blog/article-name-here,0,0.0,0,0,0,2026-08-24T16:14:18.406139
40,http://adzerk.net,0,0.0,0,0,0,2026-08-24T16:14:18.819688
37,http://www.bugsnag.com/products/view/123,0,0.2727,0,1,0,2026-08-24T16:14:19.038928
44,https://d30sec8k5ond2x.cloudfront.net/dp/B0GRJTMV5T/ref=mes-dp?_encoding=UTF8&pd_rd_w=i0O2C&content-id=amzn1.sym.f45dea16-f25a-4516-b170-6b4033444233&pf_rd_p=f45dea16-f25a-4516-b170-6b4033444233&pf_rd_r=SZSZSF4DJVBEWWDFVFAJ&pd_rd_wg=jmgSe&pd_rd_r=cf5f5d10-32de-4c12-89c0-3a51d466af30,0,1.0,0,0,0,2026-08-24T16:14:19.046100
46,http://www.azure-dns.net/register?page=2,0,0.0,0,0,0,2026-08-24T16:14:19.651940
47,http://d30sec8k5ond2x.cloudfront.net/customer-preferences/edit?ie=UTF8&ref_=footer_cop&preferencesReturnUrl=/Exposure-House-Harrington-Book-2-ebook/dp/B0GTBQVGQ3/,0,0.0,0,0,0,2026-08-24T16:14:19.752235
41,http://pestashopee-47.blogspot.com/,0,0.0,0,0,0,2026-08-24T16:14:19.878945
48,http://astro-seek.com,0,0.0,1,0,0,2026-08-24T16:14:19.886475
36,http://cpi.ad.jp,0,0.7607,0,0,0,2026-08-24T16:14:20.019093
45,http://www.centralnic.net/products/view/123,0,0.0,0,0,0,2026-08-24T16:14:20.068833
39,http://cxense.com/assets/css/style.css?lang=en,0,0.2692,0,0,0,2026-08-24T16:14:20.248781
49,http://www.bigbasket.com/download?q=test,0,0.0,0,0,0,2026-08-24T16:14:20.306563
43,http://awin1.com/contact,0,0.0,0,0,0,2026-08-24T16:14:20.610036
56,http://www.bdtelemetry.amazon/contact,0,0.0,0,0,0,2026-08-24T16:14:20.644149
0,http://audible.com/index.html?utm_source=newsletter&utm_medium=email,0,0.0,0,0,0,2026-08-24T16:14:20.914833
57,https://www.pt-shopee545.blogspot.com/,0,0.0,0,0,0,2026-08-24T16:14:21.380801
52,http://decathlon.fr/api/v1/users,0,0.0,0,0,0,2026-08-24T16:14:21.448218
25,http://barracuda.com/blog/article-name-here,0,0.0,0,0,0,2026-08-24T16:14:21.607471
50,http://www.assamesesexvideos.com/index.html,0,0.0,0,0,0,2026-08-24T16:14:21.974174
58,https://d30sec8k5ond2x.cloudfront.net/your-books?tabView=library&discoveryType=on&viewType=genres&ref=ebooks_dsk_sn_yb_ip_lib_dis_d_t1,0,0.0,0,0,0,2026-08-24T16:14:22.123496
35,https://lj4704.craftum.io/?naps,0,0.0,0,0,0,2026-08-24T16:14:22.303204
65,https://d30sec8k5ond2x.cloudfront.net/Exposure-House-Harrington-Book-2-ebook/dp/B0GTBQVGQ3/,0,1.0,0,0,0,2026-08-24T16:14:22.398766
62,http://claude.com/register,0,0.0,1,0,0,2026-08-24T16:14:22.586632
24,http://anticheatexpert.com/products/view/123,0,0.0,0,0,0,2026-08-24T16:14:42.629579
54,http://www.corriere.it/search,0,0.0,0,0,0,2026-08-24T16:14:43.834117
53,http://adblockplus.org/assets/css/style.css,0,0.0,0,0,0,2026-08-24T16:14:43.853170
60,http://www.connatix.com/search,0,0.0,0,0,0,2026-08-24T16:14:44.798906
67,http://capcutapi.us/about?page=2,0,0.0,0,0,0,2026-08-24T16:14:47.394389
59,http://archive.org/,0,0.0,0,0,0,2026-08-24T16:14:48.576466
73,http://blogspot.ca/products/view/123,0,0.0,0,0,0,2026-08-24T16:14:48.727306
66,http://cdc.gov/search,0,0.0,0,0,0,2026-08-24T16:14:48.797364
51,http://www.dbankcloud.com/assets/css/style.css,0,0.0,0,0,0,2026-08-24T16:14:49.175869
75,http://www.allocine.fr/,0,0.0,0,0,0,2026-08-24T16:14:49.213120
61,http://www.bucetaflix.com/wp-content/uploads/image.jpg?redirect_url=https%3A%2F%2Fexample.com%2Fdashboard&session_id=abcdef1234567890abcdef1234567890,0,0.0,0,0,0,2026-08-24T16:14:49.244798
71,http://www.cmoa.jp/products/view/123,0,0.0556,0,0,0,2026-08-24T16:14:49.455164
32,http://www.abbott.com/download?ref=twitter,0,0.0,0,0,0,2026-08-24T16:14:49.559377
63,https://allegro.1200000498.casa/lokalnie/mdata?id=1H5f9Q2H2G4n5v0T3O4X4R6X9z8a7j0h,0,0.0,0,0,0,2026-08-24T16:14:49.667995
70,http://www.boston.com/register?q=test,0,0.0,0,0,0,2026-08-24T16:14:49.692152
